"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"1",4125022904,"vacant land","Owned","Airports",NA,"5826 ARBOR VITAE ST","LOS ANGELES",NA,-118.3839722,33.9523544,4,"None",7209.6128,"None",NA,NA,4125022904,NA,NA,NA,NA,-118.3839722,33.9523544,TRUE
"2",4125022905,"vacant land","Owned","Airports",NA,"9306 BELFORD AVE","LOS ANGELES",NA,-118.383667,33.9516563,4,"None",7213.440656,"None",NA,NA,4125022905,NA,NA,NA,NA,-118.383667,33.9516563,TRUE
"3",4125022906,"vacant land","Owned","Airports",NA,"9406 BELFORD AVE","LOS ANGELES",NA,-118.3837128,33.9508171,4,"None",7336.4655,"None",NA,NA,4125022906,NA,NA,NA,NA,-118.3837128,33.9508171,TRUE
"4",4125022907,"vacant land","Owned","Airports",NA,"5838 ARBOR VITAE ST NO 8","LOS ANGELES",NA,-118.384368,33.952354,4,"None",7209.313099,"None",NA,NA,4125022907,NA,NA,NA,NA,-118.384368,33.952354,TRUE
"5",4125022908,"vacant land","Owned","Airports",NA,"5844 ARBOR VITAE ST","LOS ANGELES",NA,-118.3845673,33.9523544,4,"None",7208.113299,"None",NA,NA,4125022908,NA,NA,NA,NA,-118.3845673,33.9523544,TRUE
"6",4125022909,"vacant land","Owned","Airports",NA,"9400 BELFORD AVE","LOS ANGELES",NA,-118.3837051,33.950985,4,"None",7200.551399,"None",NA,NA,4125022909,NA,NA,NA,NA,-118.3837051,33.950985,TRUE
"7",4125022911,"vacant land","Owned","Airports",NA,"5820 ARBOR VITAE ST","LOS ANGELES",NA,-118.3837738,33.9523544,4,"None",7209.9148,"None",NA,NA,4125022911,NA,NA,NA,NA,-118.3837738,33.9523544,TRUE
"8",4125022912,"vacant land","Owned","Airports",NA,"5812 ARBOR VITAE ST","LOS ANGELES",NA,-118.3833236,33.952598,4,"None",7284.686352,"None",NA,NA,4125022912,NA,"093B169    80",NA,NA,-118.3833236,33.952598,TRUE
"9",4125022913,"vacant land","Owned","Airports",NA,"5850 ARBOR VITAE ST","LOS ANGELES",NA,-118.384835,33.9526147,4,"None",7158.612049,"None",NA,NA,4125022913,NA,"093B169    86",NA,NA,-118.384835,33.9526147,TRUE
"10",4125023900,"vacant land","Owned","Airports",NA,"9418 BELFORD AVE","LOS ANGELES",NA,-118.3837128,33.9504738,4,"None",7439.9915,"None",NA,NA,4125023900,NA,NA,NA,NA,-118.3837128,33.9504738,TRUE
"11",4125023901,"vacant land","Owned","Airports",NA,"5843 W 95TH ST","LOS ANGELES",NA,-118.3845673,33.9505844,4,"None",6227.375282,"Gateway To Los Angeles",NA,NA,4125023901,NA,NA,NA,NA,-118.3845673,33.9505844,TRUE
"12",4125023902,"vacant land","Owned","Airports",NA,"5833 W 96TH ST","LOS ANGELES",NA,-118.3843918,33.949688,4,"None",6311.12565,"Gateway To Los Angeles",NA,NA,4125023902,NA,"093B169   158",NA,NA,-118.3843918,33.949688,TRUE
"13",4125023903,"vacant land","Owned","Airports",NA,"9420 AIRPORT BLVD","LOS ANGELES",NA,-118.3853989,33.950058,4,"None",81610.0353,"None",NA,NA,4125023903,NA,NA,NA,NA,-118.3853989,33.950058,TRUE
"14",4125023904,"vacant land","Owned","Airports",NA,"5839 W 96TH ST","LOS ANGELES",NA,-118.3845673,33.949688,4,"None",6311.12565,"None",NA,NA,4125023904,NA,NA,NA,NA,-118.3845673,33.949688,TRUE
"15",4125023905,"vacant land","Owned","Airports",NA,"9519 BELFORD AVE","LOS ANGELES",NA,-118.3842163,33.9496918,4,"None",6397.902989,"None",NA,NA,4125023905,NA,NA,NA,NA,-118.3842163,33.9496918,TRUE
"16",4125023906,"vacant land","Owned","Airports",NA,"9625 BELFORD AVE","LOS ANGELES",NA,-118.3843613,33.9485893,4,"None",10753.56523,"None",NA,NA,4125023906,NA,NA,NA,NA,-118.3843613,33.9485893,TRUE
"17",4125023907,"vacant land","Owned","Airports",NA,"5855 W 96TH ST","LOS ANGELES",NA,-118.3849106,33.9496841,4,"None",6130.146651,"None",NA,NA,4125023907,NA,NA,NA,NA,-118.3849106,33.9496841,TRUE
"18",4125023908,"vacant land","Owned","Airports",NA,"9500 BELFORD AVE","LOS ANGELES",NA,-118.38372,33.950134,4,"None",7440.611351,"None",NA,NA,4125023908,NA,NA,NA,NA,-118.38372,33.950134,TRUE
"19",4125023909,"vacant land","Owned","Airports",NA,"9508 BELFORD AVE","LOS ANGELES",NA,-118.383728,33.949962,4,"None",7441.218099,"None",NA,NA,4125023909,NA,NA,NA,NA,-118.383728,33.949962,TRUE
"20",4125023910,"vacant land","Owned","Airports",NA,"9501 BELFORD AVE","LOS ANGELES",NA,-118.3842239,33.9500732,4,"None",7286.121881,"None",NA,NA,4125023910,NA,NA,NA,NA,-118.3842239,33.9500732,TRUE
"21",4125023911,"vacant land","Owned","Airports",NA,"5833 W 95TH ST","LOS ANGELES",NA,-118.3843918,33.9505653,4,"None",6228.346144,"None",NA,NA,4125023911,NA,NA,NA,NA,-118.3843918,33.9505653,TRUE
"22",4125023912,"vacant land","Owned","Airports",NA,"5845 W 96TH ST","LOS ANGELES",NA,-118.3847427,33.949688,4,"None",6311.724851,"None",NA,NA,4125023912,NA,"093B169   160",NA,NA,-118.3847427,33.949688,TRUE
"23",4125023913,"vacant land","Owned","Airports",NA,"9605 BELFORD AVE","LOS ANGELES",NA,-118.3843536,33.9491158,4,"None",7128.908149,"None",NA,NA,4125023913,NA,NA,NA,NA,-118.3843536,33.9491158,TRUE
"24",4125023914,"vacant land","Owned","Airports",NA,"9415 BELFORD AVE","LOS ANGELES",NA,-118.3842087,33.9505692,4,"None",6999.110383,"None",NA,NA,4125023914,NA,NA,NA,NA,-118.3842087,33.9505692,TRUE
"25",4125023915,"vacant land","Owned","Airports",NA,"9426 BELFORD AVE","LOS ANGELES",NA,-118.38372,33.950302,4,"None",7440.907749,"None",NA,NA,4125023915,NA,NA,NA,NA,-118.38372,33.950302,TRUE
"26",4125023916,"vacant land","Owned","Airports",NA,"9606 BELFORD AVE","LOS ANGELES",NA,-118.3837433,33.9491081,4,"None",6600.395499,"None",NA,NA,4125023916,NA,NA,NA,NA,-118.3837433,33.9491081,TRUE
"27",4125023917,"vacant land","Owned","Airports",NA,"9514 BELFORD AVE","LOS ANGELES",NA,-118.383728,33.949791,4,"None",7440.61135,"None",NA,NA,4125023917,NA,NA,NA,NA,-118.383728,33.949791,TRUE
"28",4125023918,"vacant land","Owned","Airports",NA,"5814 W 96TH ST","LOS ANGELES",NA,-118.383743,33.949272,4,"None",7534.464181,"None",NA,NA,4125023918,NA,NA,NA,NA,-118.383743,33.949272,TRUE
"29",4125023919,"vacant land","Owned","Airports",NA,"9624 BELFORD AVE","LOS ANGELES",NA,-118.3837585,33.9485893,4,"None",9746.032559,"None",NA,NA,4125023919,NA,NA,NA,NA,-118.3837585,33.9485893,TRUE
"30",4125023920,"vacant land","Owned","Airports",NA,"9612 BELFORD AVE","LOS ANGELES",NA,-118.3837433,33.9489594,4,"None",6520.182952,"None",NA,NA,4125023920,NA,NA,NA,NA,-118.3837433,33.9489594,TRUE
"31",4125023921,"vacant land","Owned","Airports",NA,"9618 BELFORD AVE","LOS ANGELES",NA,-118.3837128,33.9487839,4,"None",7195.24384,"None",NA,NA,4125023921,NA,NA,NA,NA,-118.3837128,33.9487839,TRUE
"32",4125023922,"vacant land","Owned","Airports",NA,"5836 W 95TH ST","LOS ANGELES",NA,-118.384407,33.9500732,4,"None",6231.632998,"None",NA,NA,4125023922,NA,NA,NA,NA,-118.384407,33.9500732,TRUE
"33",4125023923,"vacant land","Owned","Airports",NA,"5848 W 95TH ST","LOS ANGELES",NA,-118.3848038,33.9500389,4,"None",7613.952055,"None",NA,NA,4125023923,NA,NA,NA,NA,-118.3848038,33.9500389,TRUE
"34",4125023925,"vacant land","Owned","Airports",NA,"5842 W 95TH ST","LOS ANGELES",NA,-118.384582,33.95005,4,"None",6013.535423,"None",NA,NA,4125023925,NA,NA,NA,NA,-118.384582,33.95005,TRUE
"35",4125023926,"vacant land","Owned","Airports",NA,"5830 W 96TH ST","LOS ANGELES",NA,-118.3843536,33.9492722,4,"None",7887.19689,"None",NA,NA,4125023926,NA,"093B169   167",NA,NA,-118.3843536,33.9492722,TRUE
"36",4125023927,"vacant land","Owned","Airports",NA,"9630 BELFORD AVE","LOS ANGELES",NA,-118.3840561,33.9485512,4,"None",7450.7812,"None",NA,NA,4125023927,NA,NA,NA,NA,-118.3840561,33.9485512,TRUE
"37",4125023928,"vacant land","Owned","Airports",NA,"9619 BELFORD AVE","LOS ANGELES",NA,-118.384407,33.948791,4,"None",7893.385252,"None",NA,NA,4125023928,NA,NA,NA,NA,-118.384407,33.948791,TRUE
"38",4125023929,"vacant land","Owned","Airports",NA,"9412 BELFORD AVE","LOS ANGELES",NA,-118.3837128,33.9506454,4,"None",7650.957299,"None",NA,NA,4125023929,NA,NA,NA,NA,-118.3837128,33.9506454,TRUE
"39",4125023930,"vacant land","Owned","Airports",NA,"9613 BELFORD AVE","LOS ANGELES",NA,-118.3843613,33.9489632,4,"None",7033.7445,"None",NA,NA,4125023930,NA,NA,NA,NA,-118.3843613,33.9489632,TRUE
"40",4128002903,"vacant land","Owned","Airports",NA,"5511 W 93RD ST","LOS ANGELES",NA,-118.375885,33.9518623,4,"None",6711.43545,"None",NA,NA,4128002903,NA,NA,NA,NA,-118.375885,33.9518623,TRUE
"41",4128002904,"vacant land","Owned","Airports",NA,"5523 W 93RD ST","LOS ANGELES",NA,-118.3762512,33.9518623,4,"None",6710.2753,"None",NA,NA,4128002904,NA,NA,NA,NA,-118.3762512,33.9518623,TRUE
"42",4128002905,"vacant land","Owned","Airports",NA,"5505 W 93RD ST","LOS ANGELES",NA,-118.3757095,33.9518623,4,"None",6710.82545,"None",NA,NA,4128002905,NA,NA,NA,NA,-118.3757095,33.9518623,TRUE
"43",4128002907,"vacant land","Owned","Airports",NA,"5535 W 93RD ST","LOS ANGELES",NA,-118.3766098,33.9518623,4,"None",6710.275299,"None",NA,NA,4128002907,NA,NA,NA,NA,-118.3766098,33.9518623,TRUE
"44",4128002908,"vacant land","Owned","Airports",NA,"9219 ISIS AVE","LOS ANGELES",NA,-118.3755188,33.9518738,4,"None",6971.015682,"None",NA,NA,4128002908,NA,NA,NA,NA,-118.3755188,33.9518738,TRUE
"45",4128002909,"vacant land","Owned","Airports",NA,"5517 W 93RD ST","LOS ANGELES",NA,-118.3760681,33.9518623,4,"None",6710.000399,"None",NA,NA,4128002909,NA,NA,NA,NA,-118.3760681,33.9518623,TRUE
"46",4128002910,"vacant land","Owned","Airports",NA,"9224 AVIATION BLVD","LOS ANGELES",NA,-118.3768,33.951858,4,"None",6884.300353,"None",NA,NA,4128002910,NA,NA,NA,NA,-118.3768,33.951858,TRUE
"47",4128002911,"vacant land","Owned","Airports",NA,"5529 W 93RD ST","LOS ANGELES",NA,-118.3764343,33.9518623,4,"None",6710.5504,"None",NA,NA,4128002911,NA,NA,NA,NA,-118.3764343,33.9518623,TRUE
"48",2561023904,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32529,34.23848,14,NA,2499.8038,NA,NA,"Vacant Land",2561023904,NA,NA,NA,NA,-118.32529,34.23848,TRUE
"49",4128003901,"vacant land","Owned","Airports",NA,"5406 ARBOR VITAE ST","LOS ANGELES",NA,-118.3741913,33.9522591,4,"None",6762.525499,"None",NA,NA,4128003901,NA,NA,NA,NA,-118.3741913,33.9522591,TRUE
"50",2561023905,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32431,34.23977,14,NA,2302.0897,NA,NA,"Vacant Land",2561023905,NA,NA,NA,NA,-118.32431,34.23977,TRUE
"51",4128003902,"vacant land","Owned","Airports",NA,"5427 W 93RD ST","LOS ANGELES",NA,-118.374916,33.951866,4,"None",6710.885251,"None",NA,NA,4128003902,NA,"093B173   111",NA,NA,-118.374916,33.951866,TRUE
"52",2561023909,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32478,34.23936,14,NA,2411.53325,NA,NA,"Vacant Land",2561023909,NA,NA,NA,NA,-118.32478,34.23936,TRUE
"53",4128003903,"vacant land","Owned","Airports",NA,"5302 ARBOR VITAE ST","LOS ANGELES",NA,-118.3727341,33.9522629,4,"None",7202.619099,"None",NA,NA,4128003903,NA,"093B173    71",NA,NA,-118.3727341,33.9522629,TRUE
"54",2561023910,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32529,34.23833,14,NA,1249.36665,NA,NA,"Vacant Land",2561023910,NA,NA,NA,NA,-118.32529,34.23833,TRUE
"55",2561023914,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32487,34.23908,14,NA,10295.38195,NA,NA,"Vacant Land",2561023914,NA,NA,NA,NA,-118.32487,34.23908,TRUE
"56",4128003904,"vacant land","Owned","Airports",NA,"5421 W 93RD ST","LOS ANGELES",NA,-118.374733,33.9518661,4,"None",6710.275299,"None",NA,NA,4128003904,NA,"093B173   110",NA,NA,-118.374733,33.9518661,TRUE
"57",2561024905,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32459,34.23889,14,NA,2003.32405,NA,NA,"Vacant Land",2561024905,NA,NA,NA,NA,-118.32459,34.23889,TRUE
"58",4128003905,"vacant land","Owned","Airports",NA,"5335 W 93RD ST","LOS ANGELES",NA,-118.3738327,33.95187,4,"None",6709.66505,"None",NA,NA,4128003905,NA,"093B173   119",NA,NA,-118.3738327,33.95187,TRUE
"59",2561024906,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32465,34.23876,14,NA,1850.9239,NA,NA,"Vacant Land",2561024906,NA,NA,NA,NA,-118.32465,34.23876,TRUE
"60",4128003906,"vacant land","Owned","Airports",NA,"5413 W 93RD ST","LOS ANGELES",NA,-118.374557,33.951866,4,"None",6710.000401,"None",NA,NA,4128003906,NA,NA,NA,NA,-118.374557,33.951866,TRUE
"61",2561024920,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32494,34.23816,14,NA,1508.7689,NA,NA,"Vacant Land",2561024920,NA,NA,NA,NA,-118.32494,34.23816,TRUE
"62",4128003907,"vacant land","Owned","Airports",NA,"5341 W 93RD ST","LOS ANGELES",NA,-118.3740082,33.95187,4,"None",6710.88525,"None",NA,NA,4128003907,NA,NA,NA,NA,-118.3740082,33.95187,TRUE
"63",4128003908,"vacant land","Owned","Airports",NA,"5331 W 93RD ST","LOS ANGELES",NA,-118.3736496,33.95187,4,"None",6711.770302,"None",NA,NA,4128003908,NA,NA,NA,NA,-118.3736496,33.95187,TRUE
"64",4128003909,"vacant land","Owned","Airports",NA,"5313 W 93RD ST","LOS ANGELES",NA,-118.3731003,33.95187,4,"None",6711.160549,"None",NA,NA,4128003909,NA,NA,NA,NA,-118.3731003,33.95187,TRUE
"65",4128003910,"vacant land","Owned","Airports",NA,"9219 HINDRY PL","LOS ANGELES",NA,-118.3727341,33.9518738,4,"None",7272.449689,"None",NA,NA,4128003910,NA,NA,NA,NA,-118.3727341,33.9518738,TRUE
"66",2561029901,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8627 W LA TUNA CANYON RD","LOS ANGELES",NA,-118.32098,34.23827,14,NA,1851.597301,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2561029901,NA,NA,NA,NA,-118.32098,34.23827,TRUE
"67",2561029906,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.3217,34.23908,14,NA,1978.974949,NA,NA,"Vacant Land",2561029906,NA,NA,NA,NA,-118.3217,34.23908,TRUE
"68",4128003911,"vacant land","Owned","Airports",NA,"5319 W 93RD ST","LOS ANGELES",NA,-118.3732834,33.95187,4,"None",6710.2753,"None",NA,NA,4128003911,NA,NA,NA,NA,-118.3732834,33.95187,TRUE
"69",4128003912,"vacant land","Owned","Airports",NA,"5412 ARBOR VITAE ST","LOS ANGELES",NA,-118.3743744,33.9522591,4,"None",6763.075299,"None",NA,NA,4128003912,NA,NA,NA,NA,-118.3743744,33.9522591,TRUE
"70",4128003913,"vacant land","Owned","Airports",NA,"5409 W 93RD ST","LOS ANGELES",NA,-118.3743744,33.9518661,4,"None",6710.000399,"None",NA,NA,4128003913,NA,NA,NA,NA,-118.3743744,33.9518661,TRUE
"71",2561029910,"vacant land","Surplus-Undeclared","General Services","A2-1&K","LA TUNA CANYON RD/WILDWOOD FIRE RD","LOS ANGELES",NA,-118.32137,34.2388,14,NA,111843.4991,NA,NA,"Vacant Land",2561029910,NA,NA,NA,NA,-118.32137,34.2388,TRUE
